TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2025-10-08;F_AEFES1025;AEFES_10/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-10-31;14.3;14.13;1.2;14.12;14.12;14.91;14.3;14.51;325180597;0;224082;10296;446523;-6926;14.12;29652;0;21;3
2025-10-08;F_AEFES1125;AEFES_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-11-28;14.67;14.48;1.31;14.44;14.44;15.28;14.67;14.86;21269199;0;14313;874;43008;6619;;;;;
2025-10-08;F_AEFES1225;AEFES_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-12-31;15.18;14.94;1.61;14.95;14.95;15.55;15.17;15.28;1266888;0;829;100;3795;625;;;;;
2025-10-08;F_AKBNK1025;AKBNK_10/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-10-31;59.5;60.39;-1.47;60.36;59.4;61.42;59.57;60.5;2169933941;0;358729;30386;517256;449;60.36;905400;0;150;10
2025-10-08;F_AKBNK1125;AKBNK_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-11-28;61.07;61.93;-1.39;62;60.95;62.9;61;62.07;26105450;0;4206;993;10878;876;;;;;
2025-10-08;F_AKBNK1225;AKBNK_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-12-31;63.03;63.51;-0.76;64;62.9;64.47;63.09;63.18;593864;0;94;23;347;50;;;;;
2025-10-08;F_AKSEN1025;AKSEN_10/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-10-31;39.69;41.11;-3.45;41.16;39.32;41.8;39.78;40.92;177973214;0;43497;6615;39493;-2145;;;;;
2025-10-08;F_AKSEN1125;AKSEN_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-11-28;40.81;41.96;-2.74;42.49;40.7;42.63;40.78;41.91;5875862;0;1402;294;2552;442;;;;;
2025-10-08;F_AKSEN1225;AKSEN_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-12-31;42.64;43.28;-1.48;43.36;42.22;44.04;42.22;43.53;2120063;0;487;109;633;342;;;;;
