TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-02-27;F_AEFES0226;AEFES_02/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-02-27;18.95;19.42;-2.42;19.31;18.51;21.36;18.9;19.02;348498056;0;183004;8693;182598;-20651;19.31;11586;0;6;3
2026-02-27;F_AEFES0326;AEFES_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-03-31;19.52;19.94;-2.11;20.05;19.13;20.1;19.5;19.5;433670482;0;221985;11608;238854;68933;20.05;38095;0;19;11
2026-02-27;F_AEFES0426;AEFES_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-04-30;20.06;20.51;-2.19;20.47;19.52;20.58;20.11;20.01;12090596;0;6043;335;19151;5118;;;;;
2026-02-27;F_AKBNK0226;AKBNK_02/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-02-27;90.15;91.78;-1.78;92.3;89.13;93.46;90.43;91.24;2674672084;0;293131;21111;283516;-48876;;;;;
2026-02-27;F_AKBNK0326;AKBNK_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-03-31;89.9;91.84;-2.11;92;89.03;93.45;90.15;91.28;3597028313;0;394073;35117;350675;80272;92;82800;0;9;6
2026-02-27;F_AKBNK0426;AKBNK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-04-30;92.2;93.91;-1.82;93.6;91.3;95.43;91.96;93.41;14104205;0;1510;375;2067;445;93.6;9360;0;1;1
2026-02-27;F_AKSEN0226;AKSEN_02/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-02-27;67.15;69.73;-3.7;69.6;65.72;72.22;67.15;69.2;469346907;0;67829;17113;22281;-17129;;;;;
2026-02-27;F_AKSEN0326;AKSEN_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-03-31;68.96;71.42;-3.44;71.8;67.6;74.03;69.25;70.88;626811603;0;88439;21516;66515;31465;;;;;
2026-02-27;F_AKSEN0426;AKSEN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-04-30;71.2;73.91;-3.67;72.11;69.99;75.7;71.27;74.26;7953692;0;1071;273;1181;816;;;;;
