TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-05-08;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;20.69;20.85;-0.77;20.89;20.42;21.01;20.62;20.77;275477485;0;132646;10239;284365;-1917;20.89;104450;0;50;6
2026-05-08;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;21.21;21.37;-0.75;21.23;21;21.56;21.23;21.31;16340317;0;7668;775;25346;423;;;;;
2026-05-08;F_AEFES0726;AEFES_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-07-31;21.98;22.05;-0.32;22.01;21.65;22.2;22.2;21.98;16790687;0;7506;5;347;-7496;;;;;
2026-05-08;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;76.87;76.84;0.04;76.56;75.48;77.74;76.94;76.64;3545808183;0;462664;38172;720575;-40253;76.56;2786784;0;364;16
2026-05-08;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;79.04;79.01;0.04;78;77.68;79.96;79.18;78.92;185077476;0;23378;2135;34040;5272;78;132600;0;17;4
2026-05-08;F_AKBNK0726;AKBNK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-07-31;81.58;81.39;0.23;81.78;80.14;82.27;81.31;80.82;1495242;0;185;74;499;34;;;;;
2026-05-08;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;88.54;90.28;-1.93;90.17;88.3;91.45;88.47;89.36;190787232;0;21350;5275;93458;822;;;;;
2026-05-08;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;90.95;93.14;-2.35;94.25;90.82;94.25;91.06;91.96;5802636;0;631;186;2769;102;;;;;
2026-05-08;F_AKSEN0726;AKSEN_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-07-31;93.96;95.77;-1.89;94;93;95.57;94.02;94.36;575567;0;61;31;79;37;;;;;
