TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-04-24;F_AEFES0426;AEFES_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-04-30;19.26;19.4;-0.72;19.35;18.78;19.46;19.24;19.1;250923743;0;131385;10322;216768;-24867;19.35;7740;0;4;2
2026-04-24;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;19.6;19.73;-0.66;19.73;19.12;19.76;19.58;19.45;76207136;0;39173;2510;71313;10550;19.73;1973;0;1;1
2026-04-24;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;20.14;20.27;-0.64;20.35;19.69;20.35;20.11;19.9;3576718;0;1797;150;5043;1083;;;;;
2026-04-24;F_AKBNK0426;AKBNK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-04-30;78.53;79.95;-1.78;79.71;78.12;79.87;78.6;78.79;4242571567;0;538418;46796;633711;-63125;79.71;1371012;0;172;12
2026-04-24;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;80.68;82.09;-1.72;81.02;80.24;81.81;80.74;80.84;1619483591;0;200139;12949;191940;100060;81.02;129632;0;16;8
2026-04-24;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;82.74;83.82;-1.29;84.14;82.48;84.14;82.8;83.03;1826687;0;220;105;805;80;;;;;
2026-04-24;F_AKSEN0426;AKSEN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-04-30;81.87;79.73;2.68;80.35;78.85;82.19;81.62;81.29;351654892;0;43258;10528;67233;-5812;;;;;
2026-04-24;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;84.13;81.78;2.87;81.63;80.53;84.27;84.1;83.49;116821101;0;13993;3438;21927;7216;;;;;
2026-04-24;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;86.63;84.21;2.87;84.01;84;86.85;86.66;85.95;2870746;0;334;153;1465;99;;;;;
2026-04-24;F_ALARK0426;ALARK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-04-30;93.65;92.86;0.85;92.9;92.5;94.26;93.3;93.52;257408380;0;27524;6413;74520;-11431;92.9;566690;0;61;13
2026-04-24;F_ALARK0526;ALARK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-05-25;93.09;92.25;0.91;92.55;91.93;93.61;93;92.88;113565064;0;12227;2850;11907;4459;;;;;
2026-04-24;F_ALARK0626;ALARK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-06-30;95.68;95.84;-0.17;98.09;94.68;98.09;95.8;95.37;1134958;0;119;82;480;59;;;;;
2026-04-24;F_ARCLK0426;ARCLK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-04-30;117.95;115.15;2.43;116.25;112.4;120.75;118.3;117.59;409298840;0;34807;10919;33945;185;116.25;46500;0;4;3
2026-04-24;F_ARCLK0526;ARCLK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-05-25;119.75;117.75;1.7;115.9;114.85;122.45;119.8;118.92;75893290;0;6382;1993;5830;2688;;;;;
2026-04-24;F_ARCLK0626;ARCLK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-06-30;122.85;121;1.53;118.8;118.5;125;122.75;122.42;1958715;0;160;94;475;9;;;;;
2026-04-24;F_ASELS0426;ASELS_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-04-30;395;400.35;-1.34;402;392.9;406.95;394.25;397.36;2465643370;0;62051;19653;131945;-6621;402;442200;0;11;9
2026-04-24;F_ASELS0526;ASELS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-05-25;405.05;409.8;-1.16;410;402.1;416.15;404.7;406.01;518229585;0;12764;3457;21735;4713;410;410000;0;10;2
2026-04-24;F_ASELS0626;ASELS_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-06-30;416;419.05;-0.73;425;413.5;425;415.85;417.14;4046215;0;97;81;884;-8;;;;;
2026-04-24;F_ASTOR0426;ASTOR_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-04-30;222.8;209.8;6.2;209;207.8;226.4;223.2;220.57;2791468305;0;126559;29171;56238;-2602;;;;;
2026-04-24;F_ASTOR0526;ASTOR_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-05-25;227.7;214.45;6.18;214;212.75;231.1;227.85;225.98;331519665;0;14670;3887;17421;3060;;;;;
2026-04-24;F_ASTOR0626;ASTOR_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-06-30;232.95;219.9;5.93;218.7;218.7;239;232.7;231.71;12975660;0;560;195;751;137;;;;;
2026-04-24;F_BIMAS0426;BIMAS_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-04-30;764.2;768.9;-0.61;767.1;750.9;768.9;762.4;757.95;1069847930;0;14115;7647;31778;-1722;767.1;230130;0;3;3
2026-04-24;F_BIMAS0526;BIMAS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-05-25;784.6;788.6;-0.51;784.5;769.7;785.9;785.3;776.77;263481080;0;3392;1680;3249;1540;;;;;
2026-04-24;F_BIMAS0626;BIMAS_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-06-30;789.2;798.2;-1.13;794;785.9;798.2;798.2;790.22;1027280;0;13;12;68;7;;;;;
2026-04-24;F_BRSAN0426;BRSAN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BRSAN_FPD;BRSAN.E;2026-04-30;551.9;561.4;-1.69;560.9;545;565;552.3;551.14;230323040;0;4179;2556;4571;111;;;;;
2026-04-24;F_BRSAN0526;BRSAN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BRSAN_FPD;BRSAN.E;2026-05-25;566.2;576.1;-1.72;577.2;560;577.7;568.2;566.12;28192940;0;498;320;1162;104;;;;;
2026-04-24;F_BRSAN0626;BRSAN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BRSAN_FPD;BRSAN.E;2026-06-30;583.8;591.3;-1.27;592;577.7;592;577.7;583.82;350290;0;6;6;112;-2;;;;;
2026-04-24;F_CIMSA0426;CIMSA_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_CIMSA_FPD;CIMSA.E;2026-04-30;56.52;56.64;-0.21;56.53;55.7;56.92;56.47;56.24;182041575;0;32370;6830;74115;890;;;;;
2026-04-24;F_CIMSA0526;CIMSA_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_CIMSA_FPD;CIMSA.E;2026-05-25;58.1;58.19;-0.15;58.12;56.65;58.39;58.09;57.58;37653911;0;6539;1528;13849;2033;;;;;
2026-04-24;F_CIMSA0626;CIMSA_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_CIMSA_FPD;CIMSA.E;2026-06-30;59.69;59.66;0.05;59.23;58.55;59.82;59.6;59.53;1006046;0;169;42;414;34;;;;;
2026-04-24;F_CNHTRY0426;CNHTRY_04/2026_VIS;D_CR;CRF;D_CR_FUT;DE_CNHTRY_FUT;D_CNHTRY;2026-04-30;6.6375;6.6375;0;0;0;0;0;0;0;0;0;0;206;0;;;;;
2026-04-24;F_CNHTRY0526;CNHTRY_05/2026_VIS;D_CR;CRF;D_CR_FUT;DE_CNHTRY_FUT;D_CNHTRY;2026-05-25;6.8397;6.8397;0;0;0;0;0;0;0;0;0;0;244;0;;;;;
2026-04-24;F_CNHTRY0626;CNHTRY_06/2026_VIS;D_CR;CRF;D_CR_FUT;DE_CNHTRY_FUT;D_CNHTRY;2026-06-30;7.0086;7.0086;0;0;0;0;0;0;0;0;0;0;9;0;;;;;
2026-04-24;F_CNHTRY1226;CNHTRY_12/2026_VIS;D_CR;CRF;D_CR_FUT;DE_CNHTRY_FUT;D_CNHTRY;2026-12-31;8.2999;8.2999;0;0;0;0;0;0;0;0;0;0;8;0;;;;;
2026-04-24;F_DOAS0426;DOAS_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_DOAS_FPD;DOAS.E;2026-04-30;184.45;183.1;0.74;182.7;181.5;185.5;184.3;183.65;53019450;0;2887;1433;3724;-609;;;;;
