TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2025-10-16;F_AEFES1025;AEFES_10/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-10-31;14.1;14.19;-0.63;14.19;14.01;14.53;14.09;14.24;250775329;0;176062;10036;343528;-8498;14.19;32637;0;23;3
2025-10-16;F_AEFES1125;AEFES_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-11-28;14.43;14.63;-1.37;14.6;14.39;14.87;14.43;14.62;34547745;0;23625;1194;121362;-6638;14.6;1460;0;1;1
2025-10-16;F_AEFES1225;AEFES_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-12-31;14.88;14.99;-0.73;15.47;14.85;15.47;14.87;15;834110;0;556;135;4213;220;;;;;
2025-10-16;F_AKBNK1025;AKBNK_10/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-10-31;56.07;54.62;2.65;54.77;54.36;56.87;56.1;55.88;2730924819;0;488748;52119;559331;10915;54.77;547700;0;100;27
2025-10-16;F_AKBNK1125;AKBNK_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-11-28;57.5;56.06;2.57;56;55.8;58.3;57.52;57.24;130071354;0;22723;3574;33929;35;;;;;
2025-10-16;F_AKBNK1225;AKBNK_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-12-31;59.05;57.51;2.68;57.75;57.63;59.85;58.01;59.18;9486443;0;1603;184;3596;1360;;;;;
2025-10-16;F_AKSEN1025;AKSEN_10/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-10-31;49.5;48.81;1.41;48.76;47.69;50.77;49.27;49.35;505197278;0;102373;14556;66446;7375;;;;;
2025-10-16;F_AKSEN1125;AKSEN_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-11-28;50.48;49.96;1.04;49.5;48.89;51.9;50.21;50.56;32281150;0;6385;843;17193;1900;49.5;4950;0;1;1
2025-10-16;F_AKSEN1225;AKSEN_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-12-31;52.11;51.44;1.3;50.93;50.28;53.6;52.2;51.58;2346947;0;455;120;890;211;;;;;
