TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2025-11-28;F_AEFES0126;AEFES_01/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-01-30;16.83;17.32;-2.83;17.19;16.75;17.62;17.44;16.93;6680413;0;3945;240;10014;3498;;;;;
2025-11-28;F_AEFES1125;AEFES_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-11-28;15.79;16.27;-2.95;16.25;15.75;16.28;15.77;16.13;215992370;0;133941;5755;196357;-18745;16.25;11375;0;7;2
2025-11-28;F_AEFES1225;AEFES_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2025-12-31;16.29;16.77;-2.86;16.8;16.26;16.8;16.3;16.6;304423594;0;183415;9737;361941;56067;;;;;
2025-11-28;F_AKBNK0126;AKBNK_01/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-01-30;68.57;67.64;1.37;67.72;67.31;68.69;68.68;67.93;6425851;0;946;217;6988;329;;;;;
2025-11-28;F_AKBNK1125;AKBNK_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-11-28;64.75;63.74;1.58;63.71;63.5;66.4;64.72;64.06;1526981358;0;238378;14872;223683;-67274;63.71;12742;0;2;1
2025-11-28;F_AKBNK1225;AKBNK_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2025-12-31;66.8;65.71;1.66;65.78;65.47;67;66.78;66.16;2238611060;0;338406;22191;539957;45528;65.78;217074;0;33;25
2025-11-28;F_AKSEN0126;AKSEN_01/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-01-30;55.94;55.81;0.23;56.07;55.55;57.11;56.12;56;6703369;0;1197;502;968;127;;;;;
2025-11-28;F_AKSEN1125;AKSEN_11/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-11-28;52.7;52.88;-0.34;53.19;52.23;54.06;52.38;53.26;231027908;0;43379;10238;18887;-10075;;;;;
2025-11-28;F_AKSEN1225;AKSEN_12/2025_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2025-12-31;54.2;54.37;-0.31;54.79;54.09;55.71;54.31;54.74;330132721;0;60312;12584;65829;6344;54.79;54790;0;10;2
2025-11-28;F_ALARK0126;ALARK_01/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-01-30;99.07;101.55;-2.44;100.7;98.38;101.95;99.76;100.27;2005316;0;200;69;241;123;;;;;
