TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-05-04;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;19.31;19.43;-0.62;19.43;18.83;19.6;19.31;19.21;374378646;0;194929;11067;257020;-9791;19.43;262305;0;135;8
2026-05-04;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;19.81;19.83;-0.1;20;19.37;20.1;19.8;19.76;9319704;0;4717;454;7205;248;;;;;
2026-05-04;F_AEFES0726;AEFES_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-07-31;20.46;;0;19.63;19.63;20.51;20.51;20.44;81751;0;40;12;32;32;;;;;
2026-05-04;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;72.61;75.25;-3.51;75.6;72.17;75.79;72.54;73.23;4518073781;0;616929;66775;736608;1410;75.6;1905120;0;252;17
2026-05-04;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;74.67;77.49;-3.64;79.48;74.25;79.48;74.62;75.24;234862290;0;31147;4557;15426;11000;;;;;
2026-05-04;F_AKBNK0726;AKBNK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-07-31;76.84;;0;77.8;76.38;78.01;76.76;76.98;1839772;0;239;141;169;169;;;;;
2026-05-04;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;88.29;84.5;4.49;84.4;84;88.5;88.5;86.58;400514178;0;46261;9121;94507;3202;84.4;42200;0;5;2
2026-05-04;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;90.71;87;4.26;86.75;86.75;91;90.79;89.05;5841498;0;656;184;2459;260;;;;;
2026-05-04;F_AKSEN0726;AKSEN_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-07-31;93.77;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2026-05-04;F_ALARK0526;ALARK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-05-25;96;95.51;0.51;95.95;95.05;97.73;95.6;96.18;214566338;0;22308;5952;77702;-111;95.95;47975;0;5;1
2026-05-04;F_ALARK0626;ALARK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-06-30;98.18;98.25;-0.07;98.95;97.91;99.98;98.31;98.78;2627581;0;266;142;664;-7;;;;;
2026-05-04;F_ALARK0726;ALARK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-07-31;101.6;;0;102.1;101.1;102.1;101.1;101.6;20320;0;2;2;2;2;;;;;
2026-05-04;F_ARCLK0526;ARCLK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-05-25;112.75;115.2;-2.13;116.05;111.5;116.05;112.5;113.14;85672730;0;7572;2317;37417;418;116.05;324940;0;28;7
2026-05-04;F_ARCLK0626;ARCLK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-06-30;115.75;116.95;-1.03;118.4;114.75;118.4;115.75;115.91;4265450;0;368;145;1214;248;;;;;
2026-05-04;F_ARCLK0726;ARCLK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-07-31;118.5;;0;118.5;118.5;118.5;118.5;118.5;35550;0;3;2;3;3;;;;;
2026-05-04;F_ASELS0526;ASELS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-05-25;442.45;429.4;3.04;428.45;428.45;450.35;441.6;442.04;4578396160;0;103581;31597;110569;11969;428.45;1285350;0;30;6
2026-05-04;F_ASELS0626;ASELS_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-06-30;451.75;440.35;2.59;440.15;439.5;459.85;451.4;451.49;269085890;0;5896;1803;5255;2305;;;;;
2026-05-04;F_ASELS0726;ASELS_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-07-31;462.1;;0;450.75;450.75;470;462.9;463.85;3849980;0;83;77;54;54;;;;;
2026-05-04;F_ASTOR0526;ASTOR_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-05-25;294.6;284.7;3.48;284.2;281.65;300.6;294.05;292.95;3833134445;0;130844;48326;51266;399;284.2;1307320;0;46;21
2026-05-04;F_ASTOR0626;ASTOR_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-06-30;301.2;292.15;3.1;294.4;287.9;305.7;299.8;298.57;180604240;0;6049;2386;2398;619;294.4;29440;0;1;1
2026-05-04;F_ASTOR0726;ASTOR_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-07-31;308;;0;299.2;292.45;311.9;310.65;303.55;2033800;0;67;53;34;34;;;;;
