TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-04-28;F_AEFES0426;AEFES_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-04-30;18.89;19.31;-2.18;19.33;18.85;19.34;18.85;19.05;329209344;0;172818;12420;154711;-43372;19.33;3866;0;2;2
2026-04-28;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;19.25;19.69;-2.23;19.6;19.22;19.76;19.29;19.44;182404167;0;93834;6012;212677;60577;;;;;
2026-04-28;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;19.77;20.14;-1.84;20.04;19.77;20.17;19.77;19.89;3285645;0;1652;209;5859;875;;;;;
2026-04-28;F_AKBNK0426;AKBNK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-04-30;76.52;78.33;-2.31;78.31;76.42;78.82;76.73;77.43;3015025643;0;389312;35202;477872;-71787;78.31;266254;0;34;2
2026-04-28;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;78.7;80.51;-2.25;80.49;78.51;80.99;78.81;79.48;1373855475;0;172761;14273;371979;54918;;;;;
2026-04-28;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;80.8;82.92;-2.56;82.28;80.73;82.6;80.83;81.59;11520197;0;1412;350;1495;582;;;;;
2026-04-28;F_AKSEN0426;AKSEN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-04-30;83.53;84.68;-1.36;84.65;83.38;85.5;83.53;84.23;228939019;0;27180;9337;53429;-8509;;;;;
2026-04-28;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;85.96;86.99;-1.18;86.92;85.72;87.8;85.81;86.56;140268277;0;16204;6101;43819;8315;;;;;
2026-04-28;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;88.53;89.49;-1.07;89.25;88.38;90;88.38;89.22;1882625;0;211;106;1716;170;;;;;
2026-04-28;F_ALARK0426;ALARK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-04-30;96.46;95.72;0.77;95.6;95.33;97.6;96.4;96.69;439732822;0;45519;11371;41181;-9008;;;;;
2026-04-28;F_ALARK0526;ALARK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-05-25;96.16;95.37;0.83;95.4;95.16;97.02;96.01;96.34;284559441;0;29576;5072;61792;8511;;;;;
2026-04-28;F_ALARK0626;ALARK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-06-30;98.96;98.39;0.58;98.5;98;99.91;99.55;99.21;843287;0;85;44;652;58;;;;;
2026-04-28;F_ARCLK0426;ARCLK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-04-30;115.65;117.15;-1.28;116.15;114.6;117.9;115.9;115.8;395341690;0;34140;12274;23045;-7714;116.15;58075;0;5;2
