TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-03-27;F_AEFES0326;AEFES_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-03-31;16.71;17.23;-3.02;17.3;16.56;17.36;16.62;16.81;252686473;0;150326;10282;194118;-18433;17.3;77850;0;45;4
2026-03-27;F_AEFES0426;AEFES_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-04-30;17.25;17.73;-2.71;17.73;17.07;17.86;17.15;17.34;159205776;0;91818;4323;150625;36565;17.73;5319;0;3;1
2026-03-27;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;17.59;18.06;-2.6;18.04;17.4;18.22;17.62;17.59;10381369;0;5902;302;10211;3746;;;;;
2026-03-27;F_AKBNK0326;AKBNK_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-03-31;67.01;67.44;-0.64;67.72;66.19;68.27;66.98;67.11;2344401693;0;349299;36471;414840;-53796;67.72;1239276;0;183;26
2026-03-27;F_AKBNK0426;AKBNK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-04-30;69.01;69.58;-0.82;69.65;68.22;70.32;69.16;69.04;978915084;0;141766;12196;365396;45806;69.65;90545;0;13;2
2026-03-27;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;70.75;71.14;-0.55;72.03;69.88;72.03;70.72;70.55;41567224;0;5782;209;38483;5149;;;;;
2026-03-27;F_AKSEN0326;AKSEN_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-03-31;71.88;74.9;-4.03;75.2;71.7;75.49;71.72;73;264212521;0;36194;13575;44741;-13540;;;;;
2026-03-27;F_AKSEN0426;AKSEN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-04-30;74.18;77.16;-3.86;77.3;73.98;77.81;74.16;75.2;116183896;0;15450;7456;47544;7424;;;;;
2026-03-27;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;76.14;79.52;-4.25;78.2;76.08;78.35;76.08;77;4858993;0;631;118;2517;262;;;;;
2026-03-27;F_ALARK0326;ALARK_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-03-31;87.23;88.28;-1.19;88.5;86.4;88.61;86.96;87.05;242236844;0;27828;8095;62142;-10619;;;;;
2026-03-27;F_ALARK0426;ALARK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-04-30;89.85;90.95;-1.21;90.29;88.91;91.27;89.85;89.64;110520444;0;12330;3369;54728;6332;;;;;
2026-03-27;F_ALARK0526;ALARK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-05-25;89.11;91;-2.08;90;88.11;90.16;89.75;89;1032423;0;116;72;624;71;;;;;
2026-03-27;F_ARCLK0326;ARCLK_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-03-31;110.8;112;-1.07;111.95;109.75;112.45;110.35;110.88;121502155;0;10958;4474;21616;-1823;;;;;
2026-03-27;F_ARCLK0426;ARCLK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-04-30;110.75;110.95;-0.18;110.65;108.75;112.15;110.8;110.35;50828790;0;4606;1646;16828;2196;;;;;
2026-03-27;F_ARCLK0526;ARCLK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-05-25;113.3;114.35;-0.92;114.55;112;114.55;112;113.77;261680;0;23;18;331;8;;;;;
2026-03-27;F_ASELS0326;ASELS_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-03-31;330.9;338.7;-2.3;338.95;327.85;341;330.85;332.4;3046523830;0;91653;25553;90347;-16177;338.95;33895;0;1;1
2026-03-27;F_ASELS0426;ASELS_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-04-30;340.6;347.85;-2.08;347.9;337;350.1;340.05;341.57;1778545975;0;52069;11865;91442;18150;;;;;
2026-03-27;F_ASELS0526;ASELS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-05-25;346.55;356.5;-2.79;357.25;345.2;357.35;348.4;348.96;16924655;0;485;232;1236;131;;;;;
2026-03-27;F_ASTOR0326;ASTOR_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-03-31;205.6;203;1.28;204.95;195.55;207.1;205.7;201.89;1816526995;0;89978;27341;43695;-952;204.95;184455;0;9;5
2026-03-27;F_ASTOR0426;ASTOR_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-04-30;208.9;207.65;0.6;207.75;198.05;211.35;209.05;205.19;941108950;0;45865;10326;31820;7295;207.75;103875;0;5;1
2026-03-27;F_ASTOR0526;ASTOR_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-05-25;213.6;211.85;0.83;215;203.7;216.05;213.95;209.01;7378225;0;353;147;798;107;;;;;
2026-03-27;F_BIMAS0326;BIMAS_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-03-31;671.8;673.5;-0.25;677;670.5;683.5;671.2;676.49;1244259980;0;18393;10316;36627;-4497;677;67700;0;1;1
2026-03-27;F_BIMAS0426;BIMAS_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-04-30;686.8;690.4;-0.52;694.5;685.8;699;687.6;691.83;589439920;0;8520;4097;27691;2086;;;;;
2026-03-27;F_BIMAS0526;BIMAS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-05-25;707.2;709.9;-0.38;715.9;705.2;715.9;708.1;708.04;1699300;0;24;13;139;-2;;;;;
