TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-05-05;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;19.67;19.31;1.86;19.5;19.43;19.85;19.65;19.68;416793246;0;211735;12707;271054;14034;19.5;444600;0;228;39
2026-05-05;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;20.19;19.81;1.92;19.92;19.92;20.36;20.18;20.24;17051360;0;8426;606;6375;-830;;;;;
2026-05-05;F_AEFES0726;AEFES_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-07-31;20.82;20.46;1.76;20.65;20.6;20.9;20.84;20.78;396983;0;191;53;154;122;;;;;
2026-05-05;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;72.65;72.61;0.06;72.71;71.96;73.3;72.68;72.74;3205695823;0;440702;46497;761012;24404;72.71;1097921;0;151;8
2026-05-05;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;74.83;74.67;0.21;74.76;74.05;75.35;74.83;74.81;87373688;0;11679;1973;17625;2199;;;;;
2026-05-05;F_AKBNK0726;AKBNK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-07-31;76.76;76.84;-0.1;77.28;76.5;77.29;76.81;77.04;2288073;0;297;44;274;105;;;;;
2026-05-05;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;89.48;88.29;1.35;88.5;88.3;90.48;89.59;89.55;263344578;0;29407;8097;97192;2685;88.5;1548750;0;175;4
2026-05-05;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;91.4;90.71;0.76;90.77;90.77;92.83;91.5;91.92;13659755;0;1486;474;2490;31;;;;;
2026-05-05;F_AKSEN0726;AKSEN_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-07-31;93.77;93.77;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
