TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-01-23;F_AEFES0126;AEFES_01/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-01-30;17.91;17.74;0.96;17.82;17.75;18.05;17.93;17.89;308926097;0;172670;7397;372461;-7307;17.82;160380;0;90;15
2026-01-23;F_AEFES0226;AEFES_02/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-02-27;18.31;18.12;1.05;18.18;18.17;18.46;18.35;18.31;68631592;0;37477;1938;137896;8478;;;;;
2026-01-23;F_AEFES0326;AEFES_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-03-31;18.7;18.59;0.59;18.9;18.46;20.43;18.84;18.81;1239368;0;659;71;11890;-436;;;;;
2026-01-23;F_AKBNK0126;AKBNK_01/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-01-30;79.25;78.25;1.28;78.29;78.29;80.19;79.27;79.42;2315200711;0;291508;28931;526353;-34823;78.29;383621;0;49;8
2026-01-23;F_AKBNK0226;AKBNK_02/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-02-27;81.07;80.07;1.25;80.11;80.06;81.98;81.1;81.32;421418166;0;51765;4972;56008;-2612;;;;;
2026-01-23;F_AKBNK0326;AKBNK_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-03-31;81.68;80.81;1.08;81.22;81.12;82.82;81.58;81.93;22939277;0;2719;105;2988;2535;;;;;
2026-01-23;F_AKSEN0126;AKSEN_01/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-01-30;69.93;70.67;-1.05;71;69.6;71.28;69.88;70.54;180974663;0;25655;5130;84677;-1569;;;;;
2026-01-23;F_AKSEN0226;AKSEN_02/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-02-27;71.63;72.24;-0.84;72.72;71.56;73;71.56;72.18;24807847;0;3437;776;14889;1889;;;;;
2026-01-23;F_AKSEN0326;AKSEN_03/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-03-31;73.64;74.04;-0.54;76.22;71.91;76.22;73.53;73.83;819551;0;111;55;297;18;;;;;
