TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-04-30;F_AEFES0426;AEFES_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-04-30;18.98;18.57;2.21;18.62;18.36;19.08;18.98;18.79;210315238;0;111906;7371;89503;-19081;18.62;11172;0;6;3
2026-04-30;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;19.43;18.9;2.8;18.9;18.7;19.48;19.36;19.18;413081202;0;215402;11720;266811;56436;18.9;75600;0;40;2
2026-04-30;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;19.83;19.33;2.59;19.03;19.03;19.94;19.87;19.7;1296148;0;658;162;6957;44;19.03;13321;0;7;7
2026-04-30;F_AKBNK0426;AKBNK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-04-30;73.2;73.87;-0.91;73.5;72.82;74.01;73.24;73.44;2939253404;0;400166;28111;163187;-100468;73.5;529200;0;72;10
2026-04-30;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;75.25;75.94;-0.91;75.4;74.84;76.07;75.24;75.49;3990734510;0;528566;48263;735198;146129;75.4;821860;0;109;10
2026-04-30;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;77.49;78.12;-0.81;77.5;77;80;77.45;77.66;19485141;0;2509;277;4426;2114;;;;;
2026-04-30;F_AKSEN0426;AKSEN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-04-30;82.2;83.24;-1.25;82.5;81.63;84.1;82.22;82.35;245487851;0;29810;6439;21387;-8663;;;;;
2026-04-30;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;84.5;85.55;-1.23;85.9;83.97;85.9;84.4;84.74;365623699;0;43146;9651;91305;16198;85.9;8590;0;1;1
2026-04-30;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;87;88.01;-1.15;87.8;86.5;88.11;87.01;87.2;2581248;0;296;97;2199;271;;;;;
2026-04-30;F_ALARK0426;ALARK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-04-30;95.65;96.85;-1.24;96.74;94.22;96.74;95.7;95.53;176064553;0;18431;4883;23363;-6829;;;;;
