TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-04-29;F_AEFES0426;AEFES_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-04-30;18.57;18.89;-1.69;18.81;18.4;19.08;18.57;18.77;325975071;0;173704;15593;108584;-46127;18.81;1881;0;1;1
2026-04-29;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;18.9;19.25;-1.82;19.3;18.69;19.44;18.91;19.05;226307225;0;118809;7231;210375;-2302;;;;;
2026-04-29;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;19.33;19.77;-2.23;19.77;19.22;19.96;19.44;19.6;2224892;0;1135;119;6913;1054;;;;;
2026-04-29;F_AKBNK0426;AKBNK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-04-30;73.87;76.52;-3.46;76.81;73.75;77.04;73.81;75.38;5262511369;0;698215;59917;263655;-214217;76.81;161301;0;21;4
2026-04-29;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;75.94;78.7;-3.51;78.7;75.8;79.11;75.88;77.25;3851118675;0;498452;45104;589069;217090;78.7;165270;0;21;10
2026-04-29;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;78.12;80.8;-3.32;81.32;78;81.32;78;79.36;14760574;0;1860;627;2312;817;;;;;
2026-04-29;F_AKSEN0426;AKSEN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-04-30;83.24;83.53;-0.35;83.75;82.8;85.22;83.2;83.84;531058428;0;63359;18076;30050;-23379;;;;;
2026-04-29;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;85.55;85.96;-0.48;85.81;85.16;87.55;85.55;86.15;424048403;0;49105;10657;75107;31288;85.81;8581;0;1;1
2026-04-29;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;88.01;88.53;-0.59;90.84;87.5;90.84;88;88.46;3087324;0;349;97;1928;212;;;;;
2026-04-29;F_ALARK0426;ALARK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-04-30;96.85;96.46;0.4;96.98;95.82;97.88;96.65;96.93;361669089;0;37305;10375;30192;-10989;96.98;96980;0;10;3
2026-04-29;F_ALARK0526;ALARK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-05-25;96.3;96.16;0.15;96.1;95.15;97.45;96.28;96.39;241126196;0;25003;6165;72079;10287;96.1;9610;0;1;1
2026-04-29;F_ALARK0626;ALARK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-06-30;97.47;98.96;-1.51;97.17;97;99.95;98.8;98.28;1012311;0;103;54;664;12;;;;;
2026-04-29;F_ARCLK0426;ARCLK_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-04-30;111.9;115.65;-3.24;116.1;111.5;116.35;111.9;113.48;287364350;0;25323;9448;15566;-7479;;;;;
2026-04-29;F_ARCLK0526;ARCLK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-05-25;112.75;114.95;-1.91;115.85;111.65;116.35;112.4;113.71;151263985;0;13303;3668;27581;8587;;;;;
2026-04-29;F_ARCLK0626;ARCLK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-06-30;115.65;117.4;-1.49;117.4;113.7;117.9;116;116.53;12084065;0;1037;467;1005;86;;;;;
2026-04-29;F_ASELS0426;ASELS_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-04-30;425.8;417;2.11;414;412.75;434.35;426.3;426.61;6011485225;0;140913;41932;73105;-16076;414;1242000;0;30;24
2026-04-29;F_ASELS0526;ASELS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-05-25;434.9;426;2.09;427.55;423.85;443.7;435.5;436.72;3810186495;0;87216;23564;82792;24895;427.55;256530;0;6;4
2026-04-29;F_ASELS0626;ASELS_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-06-30;442.05;438.25;0.87;435.05;435.05;453.8;446.3;447.54;83600345;0;1868;462;2656;1603;435.05;43505;0;1;1
2026-04-29;F_ASTOR0426;ASTOR_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-04-30;261.05;254.65;2.51;255;249.55;262.7;261.65;254.75;2599581135;0;102046;38208;33450;-4214;255;25500;0;1;1
2026-04-29;F_ASTOR0526;ASTOR_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-05-25;264.3;259.1;2.01;260.1;253.6;265.85;265.65;258.51;1497491320;0;57927;19220;38882;4011;260.1;130050;0;5;4
2026-04-29;F_ASTOR0626;ASTOR_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-06-30;269.6;266.15;1.3;266;261.3;270.95;270;265.6;19813440;0;746;295;836;29;;;;;
2026-04-29;F_BIMAS0426;BIMAS_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-04-30;726.2;733.8;-1.04;734.6;721;739.2;729.9;729.46;1403560180;0;19241;10331;18040;-5103;734.6;146920;0;2;2
2026-04-29;F_BIMAS0526;BIMAS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-05-25;745.9;753;-0.94;755.9;740.8;757.9;747.1;747.53;1038922080;0;13898;6248;19873;5312;755.9;302360;0;4;3
2026-04-29;F_BIMAS0626;BIMAS_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BIMAS_FPD;BIMAS.E;2026-06-30;761.4;771.2;-1.27;771.3;740;772.6;765;764.62;9022510;0;118;66;165;51;;;;;
2026-04-29;F_BRSAN0426;BRSAN_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BRSAN_FPD;BRSAN.E;2026-04-30;556.3;566.9;-1.87;563.1;551.3;574.5;554.6;561.98;300884920;0;5354;3876;2516;-989;;;;;
2026-04-29;F_BRSAN0526;BRSAN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BRSAN_FPD;BRSAN.E;2026-05-25;572.1;584.7;-2.15;581.5;566.2;589.2;572.1;576.05;172008070;0;2986;1996;3588;985;581.5;58150;0;1;1
2026-04-29;F_BRSAN0626;BRSAN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_BRSAN_FPD;BRSAN.E;2026-06-30;594.1;609.8;-2.57;598.7;585;599.1;585;595.13;1190260;0;20;20;151;18;;;;;
2026-04-29;F_CIMSA0426;CIMSA_04/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_CIMSA_FPD;CIMSA.E;2026-04-30;57.17;56.56;1.08;56.71;56.1;59.69;57.13;57.26;335012590;0;58503;19928;51606;-10744;;;;;
2026-04-29;F_CIMSA0526;CIMSA_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_CIMSA_FPD;CIMSA.E;2026-05-25;58.78;58.14;1.1;58.15;57.5;61.13;58.6;58.74;238427192;0;40588;9974;39435;13819;58.15;58150;0;10;1
